id,tipo_de_propiedad,direccion,zona,valor,dormitorios,banos,patio_parque,garage,mts_const,lote,piso,link,columna_1,apto_banco,alternativa_menor_1,alternativa_menor_2,alternativa_menor_3,alterniva_menor_4,alternativa_menor_5,.,alternativa_mayor,alternativa_mayor_2,alternativa_mayor_3,alternativa_mayor_4,alternativa_mayor_5
76,Departamento,2 e/ 57 y 58,La Plata,USD 140.000,2,1,Patio,,90,170,PB,https://www.remax.com.ar/420161455-17?associate=420161455,TeamAli,NO,,,,,,,,,,,
77,Departamento,45 e/ 24 y 25,"La Plata ",USD 110.000,2,1,Balcon,NO,55,60,3,https://www.remax.com.ar/420161237-182?associate=420161237,Team Ali,"NO ","1. https://www.remax.com.ar/420341134-85?associate=420161202
2. https://www.remax.com.ar/421921017-31?associate=420161202
3. https://www.remax.com.ar/420711013-179?associate=420161202
4. https://www.remax.com.ar/420341185-45?associate=420161202
5. https://www.remax.com.ar/420441154-127?associate=420161202
","1. https://www.remax.com.ar/420711023-173?associate=420161202
2. https://www.remax.com.ar/420711104-194?associate=420161202
3. https://www.remax.com.ar/421921037-94?associate=420161202
4. https://www.remax.com.ar/420441173-17?associate=420161202
5. https://www.remax.com.ar/420711065-96?associate=420161202
","1. https://www.remax.com.ar/420341094-458?associate=420161202
2. https://www.remax.com.ar/420711197-107?associate=420161202
3. https://www.remax.com.ar/420441083-180?associate=420161202
4. https://www.remax.com.ar/420161282-192?associate=420161202
5. https://www.remax.com.ar/420711158-106?associate=420161202
","1. https://www.remax.com.ar/420441083-179?associate=420161202
2. https://www.remax.com.ar/420711119-335?associate=420161202
3. https://www.remax.com.ar/420441194-14?associate=420161202
",,,"📍 43 e/ 13 y 14 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Terraza | 💰 USD $ 125.000
https://www.remax.com.ar/420441128-317?associate=420161202
📍 14 e/ 45 y 46 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Balcón | 💰 USD $ 119.500
https://www.remax.com.ar/420711122-100?associate=420161202
📍 51 e/ 28 y 29 | 🛏️ 2 dorm | 📏 64 m² | 🏢  Balcón | 💰 USD $ 142.000
https://www.remax.com.ar/420161185-142?associate=420161202
📍 19 y 66 | 🛏️ 2 dorm | 📏 67 m² | 🏢  Balcón | 💰 USD $ 155.000
https://www.remax.com.ar/420441154-130?associate=420161202
📍 63 e/ 11 y 12 | 🛏️ 2 dorm | 📏 87 m² | 🏢  Balcón y Terraza| 💰 USD $ 148.000
https://www.remax.com.ar/420161073-202?associate=420161202
","📍 58 e/ 3 y 4 | 🛏️ 2 dorm | 📏 58 m² | 🏢  Balcón | 💰 USD $ 120.000
https://www.remax.com.ar/422121013-8?associate=420161202
📍 3 e/ 49 y 50 | 🛏️ 2 dorm | 📏 85 m² | 🏢  Balcón | 💰 USD $ 155.000
https://www.remax.com.ar/421921006-89?associate=420161202
📍 43 e/ 13 y 14 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Balcón | 💰 USD $ 125.000
https://www.remax.com.ar/420441128-317?associate=420161202
📍 9 e/ 60 y 61 | 🛏️ 2 dorm | 📏 65 m² | 🏢  Balcón | 💰 USD $ 130.000
https://www.remax.com.ar/420711169-43?associate=420161202
📍 51 e/ 4 y 5 | 🛏️ 2 dorm | 📏 62 m² | 🏢  Balcón | 💰 USD $ 139.000
https://www.remax.com.ar/420161359-26?associate=420161202
","📍 45 e/  6 y 7 | 🛏️ 2 dorm | 📏 79 m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161164-285?associate=420161202
📍 61 e/ 12 y 13| 🛏️ 2 dorm | 📏 97 m² | 🏢  Balcón | 💰 USD $ 178.000
https://www.remax.com.ar/420161455-19?associate=420161202
📍 15 e/ 38 y 39| 🛏️ 2 dorm | 📏 116 m² | 🏢  Balcón | 💰 USD $ 195.000
https://www.remax.com.ar/420161164-261?associate=420161202 
📍 54 e/ 23 y 24| 🛏️ 2 dorm | 📏 93 m² | 🏢  Balcón | 💰 USD $ 200.000
https://www.remax.com.ar/420441070-176?associate=420161202
📍 15 e/ 45 y 46| 🛏️ 2 dorm | 📏 100 m² | 🏢  Balcón | 💰 USD $ 189.000
https://www.remax.com.ar/420161043-460?associate=420161202
","📍 51 e/ 3 y 4| 🛏️ 2 dorm | 📏 82  m² | 🏢  Balcón | 💰 USD $ 180.000
https://www.remax.com.ar/421921026-214?associate=420161202
📍 38 e/ 16 y 17| 🛏️ 3 dorm | 📏 116  m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161085-462?associate=420161202
📍 15 e/ 43 y 44| 🛏️ 3 dorm | 📏 98  m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161137-500?associate=420161202
",
78,Casa,6 e/ 33 y 34,La Plata,USD 620.000,4,3,SI,SI / 2,400,376,,https://www.remax.com.ar/420161202-488?associate=420161202,Team Ali,"NO ","1. https://www.remax.com.ar/421941012-89?associate=420161202
2. https://www.remax.com.ar/420161141-160?associate=420161202
3. https://www.remax.com.ar/420161310-46?associate=420161202
4. https://www.remax.com.ar/420161139-151?associate=420161202
5. https://www.remax.com.ar/420161273-79?associate=420161202
","1. https://www.remax.com.ar/420711186-207?associate=420161202
2. https://www.remax.com.ar/420711144-77?associate=420161202
 
",,,,,,,,,
82,PH,58 e/ Diagonal 74 y 18,La Plata,94.500 USD,3,1,"Si Patio ",NO,"80,14","110,37",1,https://www.remax.com.ar/420161202-490?associate=420161202,Team Ali,"NO ","1. https://www.remax.com.ar/421941012-71?associate=420161202
2. https://www.remax.com.ar/420161417-13?associate=420161202
3. https://www.remax.com.ar/420711263-227?associate=420161202
4. https://www.remax.com.ar/420161185-143?associate=420161202
5. https://www.remax.com.ar/421941031-27?associate=420161202
",,,,,,"1. https://www.remax.com.ar/420161488-24?associate=420161202
2. https://www.remax.com.ar/421941011-37?associate=420161202
3. https://www.remax.com.ar/420161487-13?associate=420161202
4. https://www.remax.com.ar/420161417-27?associate=420161202
5. https://www.remax.com.ar/181654-4?associate=420161202
","1. https://www.remax.com.ar/420161185-152?associate=420161202
2. https://www.remax.com.ar/420161156-155?associate=420161202
",,,
84,Casa,45 e/ 12 y 13,La Plata,"400.000 USD ",4,3,SI,SI / 1,300,156,1,https://www.remax.com.ar/420161202-489?associate=420161202,Team Ali,NO,,,,,,,,,,,
85,"Monoambiente ","38 e/ 5 y 6 ",La Plata,51.500 USD,1,1,NO,NO,36,36,4,https://www.remax.com.ar/420161237-183?associate=420161237,Team Ali,NO,"1. https://www.remax.com.ar/420161159-232?associate=420161237
2. https://www.remax.com.ar/420711032-314?associate=420161237
3. https://www.remax.com.ar/420711264-12?associate=420161237
4. https://www.remax.com.ar/420161494-9?associate=420161237
5. https://www.remax.com.ar/420341176-32?associate=420161237
","1. https://www.remax.com.ar/420161264-116?associate=420161237
2. https://www.remax.com.ar/421941026-32?associate=420161237
3. https://www.remax.com.ar/420161486-4?associate=420161237
4. https://www.remax.com.ar/420711262-89?associate=420161237
",,,,,"1. https://www.remax.com.ar/420711168-7?associate=420161237
2. https://www.remax.com.ar/420341138-136?associate=420161237
3. https://www.remax.com.ar/421921006-101?associate=420161237
4. https://www.remax.com.ar/420011287-25?associate=420161237
5. https://www.remax.com.ar/420711262-117?associate=420161237
","1. https://www.remax.com.ar/420711122-125?associate=420161237
2. https://www.remax.com.ar/420161508-1?associate=420161237
3. https://www.remax.com.ar/420161181-189?associate=420161237
4. https://www.remax.com.ar/420161085-591?associate=420161237
5. https://www.remax.com.ar/420161137-520?associate=420161237
","1. https://www.remax.com.ar/421921024-21?associate=420161237
2. https://www.remax.com.ar/420441116-119?associate=420161237
3. https://www.remax.com.ar/420161163-213?associate=420161237
4. https://www.remax.com.ar/420711158-109?associate=420161237
5. https://www.remax.com.ar/420441113-202?associate=420161237
","1. https://www.remax.com.ar/420161159-259?associate=420161237
2. https://www.remax.com.ar/420441070-170?associate=420161237
 
",
86,Departamento,"56 e/ 6 y 7 ",La Plata,55.000 USD,1,1,NO,NO,39,45,3,https://www.remax.com.ar/420161237-181?associate=420161237,Team Ali,NO,,,,,,,,,,,
87,Departamento,"39 e/ 15 y 16 ",La Plata,USD 270.000,2,2,Balcon,"SI / Disponibles Descubiertas PB ",128,"147,20",1,https://www.remax.com.ar/420161202-498?associate=420161202,Team Ali,NO,"1. https://www.remax.com.ar/420711224-28?associate=420161202

2. https://www.remax.com.ar/420161185-113?associate=420161202

3. https://www.remax.com.ar/420711174-70?associate=420161202

4. https://www.remax.com.ar/420161164-283?associate=420161202

5. https://www.remax.com.ar/421921006-69?associate=420161202
","1. https://www.remax.com.ar/420441194-24?associate=420161202

2. https://www.remax.com.ar/420161164-299?associate=420161202

",,,,,"1. https://www.remax.com.ar/420711129-248?associate=420161202

2. https://www.remax.com.ar/420711158-70?associate=420161202

3. https://www.remax.com.ar/420161185-156?associate=420161202

4. https://www.remax.com.ar/420341141-41?associate=420161202

5. https://www.remax.com.ar/420711229-23?associate=420161202
","1. https://www.remax.com.ar/420161343-70?associate=420161202
",,,
88,Departamento,10 e/ 54 y 55,La Plata,USD 326.700,3,1,Balcon,SI / Disponibles Semicubiertas - Descubiertas PB/SUB,140,157,2 al 6,https://www.remax.com.ar/420161202-497?associate=420161202,Team Ali,NO,,,,,,,,,,,
89,Departamento,10 e/ 54 y 55,La Plata,USD 420.200,3,1,Quincho Privado,SI / Disponibles Semicubiertas - Descubiertas PB/SUB,,,,https://www.remax.com.ar/420161202-495?associate=420161202,,,,,,,,,,,,,
90,Departamento,10 e/ 54 y 55,La Plata,USD 143.000,1,1,Balcon,SI / Disponibles Semicubiertas - Descubiertas PB/SUB,60,70,Entre Piso,https://www.remax.com.ar/420161202-494?associate=420161202,Team Ali,NO,,,,,,,,,,,
91,Departamento,"12 e/ 37 y 38 ",La Plata,USD 215.000,2,2,Balcon,SI,100,110,1,https://www.remax.com.ar/420161202-491?associate=420161202,Team Ali,NO,"📍 43 e/ 13 y 14 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Terraza | 💰 USD $ 125.000
https://www.remax.com.ar/420441128-317?associate=420161202
📍 14 e/ 45 y 46 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Balcón | 💰 USD $ 119.500
https://www.remax.com.ar/420711122-100?associate=420161202
📍 51 e/ 28 y 29 | 🛏️ 2 dorm | 📏 64 m² | 🏢  Balcón | 💰 USD $ 142.000
https://www.remax.com.ar/420161185-142?associate=420161202
📍 19 y 66 | 🛏️ 2 dorm | 📏 67 m² | 🏢  Balcón | 💰 USD $ 155.000
https://www.remax.com.ar/420441154-130?associate=420161202
📍 63 e/ 11 y 12 | 🛏️ 2 dorm | 📏 87 m² | 🏢  Balcón y Terraza| 💰 USD $ 148.000
https://www.remax.com.ar/420161073-202?associate=420161202
","📍 58 e/ 3 y 4 | 🛏️ 2 dorm | 📏 58 m² | 🏢  Balcón | 💰 USD $ 120.000
https://www.remax.com.ar/422121013-8?associate=420161202
📍 3 e/ 49 y 50 | 🛏️ 2 dorm | 📏 85 m² | 🏢  Balcón | 💰 USD $ 155.000
https://www.remax.com.ar/421921006-89?associate=420161202
📍 43 e/ 13 y 14 | 🛏️ 2 dorm | 📏 75 m² | 🏢  Balcón | 💰 USD $ 125.000
https://www.remax.com.ar/420441128-317?associate=420161202
📍 9 e/ 60 y 61 | 🛏️ 2 dorm | 📏 65 m² | 🏢  Balcón | 💰 USD $ 130.000
https://www.remax.com.ar/420711169-43?associate=420161202
📍 51 e/ 4 y 5 | 🛏️ 2 dorm | 📏 62 m² | 🏢  Balcón | 💰 USD $ 139.000
https://www.remax.com.ar/420161359-26?associate=420161202
","📍 45 e/  6 y 7 | 🛏️ 2 dorm | 📏 79 m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161164-285?associate=420161202
📍 61 e/ 12 y 13| 🛏️ 2 dorm | 📏 97 m² | 🏢  Balcón | 💰 USD $ 178.000
https://www.remax.com.ar/420161455-19?associate=420161202
📍 15 e/ 38 y 39| 🛏️ 2 dorm | 📏 116 m² | 🏢  Balcón | 💰 USD $ 195.000
https://www.remax.com.ar/420161164-261?associate=420161202 
📍 54 e/ 23 y 24| 🛏️ 2 dorm | 📏 93 m² | 🏢  Balcón | 💰 USD $ 200.000
https://www.remax.com.ar/420441070-176?associate=420161202
📍 15 e/ 45 y 46| 🛏️ 2 dorm | 📏 100 m² | 🏢  Balcón | 💰 USD $ 189.000
https://www.remax.com.ar/420161043-460?associate=420161202
","📍 51 e/ 3 y 4| 🛏️ 2 dorm | 📏 82  m² | 🏢  Balcón | 💰 USD $ 180.000
https://www.remax.com.ar/421921026-214?associate=420161202
📍 38 e/ 16 y 17| 🛏️ 3 dorm | 📏 116  m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161085-462?associate=420161202
📍 15 e/ 43 y 44| 🛏️ 3 dorm | 📏 98  m² | 🏢  Balcón | 💰 USD $ 165.000
https://www.remax.com.ar/420161137-500?associate=420161202 ",,,"1. https://www.remax.com.ar/420711158-70?associate=420161202

2. https://www.remax.com.ar/420161343-70?associate=420161202

3. https://www.remax.com.ar/420711224-28?associate=420161202

4. https://www.remax.com.ar/420161185-113?associate=420161202

5. https://www.remax.com.ar/420711174-70?associate=420161202
","1. https://www.remax.com.ar/420341141-41?associate=420161202

2. https://www.remax.com.ar/420161164-283?associate=420161202

3. https://www.remax.com.ar/421921006-69?associate=420161202
",,,
92,Oficina,10 e/ 54 y 55,La Plata,USD 59.400,,1,NO,SI / Disponibles Semicubiertas - Descubiertas PB/SUB,27,27,Entre Piso,https://www.remax.com.ar/420161202-492?associate=420161202,Team Ali,NO,,,,,,,,,,,
93,PH," 41 e/ 27 y 28",La Plata,USD 59.000,2,,Si,,52,68,,https://www.remax.com.ar/420161202-500?associate=420161202,,,"1. https://www.remax.com.ar/420441165-55?associate=420161202
2. https://www.remax.com.ar/421921024-18?associate=420161202
3. https://www.remax.com.ar/420341047-279?associate=420161202
4. https://www.remax.com.ar/420441116-116?associate=420161202
5. https://www.remax.com.ar/420161073-254?associate=420161202",,,,,,"1. https://www.remax.com.ar/420711129-285?associate=420161202
2. https://www.remax.com.ar/420161361-38?associate=420161202
3. https://www.remax.com.ar/420711115-112?associate=420161202
4. https://www.remax.com.ar/420711229-20?associate=420161202
5. https://www.remax.com.ar/420711136-109?associate=420161202",,,,
